rol	facultad	edad	dispositivos	uso	plus	p1	p2	p3	p4	p5
Profesor	Facultad de Medicina	35-44 años	no he utilizado,	1	No	I would like to know more about this tool	I would like to know more about this tool	I would like to know more about this tool	I would like to know more about this tool	I would like to know more about this tool
Profesor	Facultad de Medicina	45-54 años	Teléfono móvil,	7	No	It is a consultation and learning tool	In all academic consultation tasks	In games	positive if it exists as in all good use is highly recommended	The impact has not yet been evidenced, some study should be made
Profesor	Facultad de Ingeniería	45-54 años	Computadora,Teléfono móvil,	4	No	One more tool is available to perform different tasks in which it can be coupled.	Quick and simple explanations, complement to the work done, curiosity.	Definitive medium of consultation, task replacement.	Similar to the use of other technological tools according to the need that arises. For example, at the beginning of Zoom pandemic, it was the most important.	It has not made significant changes, however it has become a new possibility of consultation and assistance.
Profesor	Facultad de Ciencias Exactas y Naturales	25-34 años	Computadora,	7	No	It is a revolutionary tool that we must learn to apply it in our professional day.	Preparation of summaries. Rain of ideas. Generation of exam questions. Approach to didactic situations.	Precise and verified information search.	Very good.	It has potentiated, dynamized and simplified some activities, but it should continue to be able to better use it.
Personal Administrativo	Facultad de Ciencias Exactas y Naturales	25-34 años	Computadora,Teléfono móvil,	5	No	If you know how to ask you, it is a tool with high academic potential	Information search, correction of code errors in Python or R and in generation of ideas.	Personal recommendations (diets, exercise routines, etc.)	An AI is always good since it speeds up the different processes that are carried out in the university.	Although it is limited above all in search of updated information, it is very useful in aid with programs used in the field of science, even more when you are asked specific and very specific questions.
Personal Administrativo	Direcciones Administrativas	35-44 años	Computadora,	1	No	A tool that helps generate content from a basic question.	Concrete information in which a summary is required	N/A	N/A	N/A
Profesor	Facultad de Economía	35-44 años	Teléfono móvil,Computadora,	1	No	N/A	N/A	N/A	N/A	N/A
Estudiante	Facultad de Arquitectura, Diseño y Artes	25-34 años	Computadora,	5	No	Allows you to solve directly	To raise additional options on how to solve problems	N/A	good	positively, since it serves as a great consultation tool at the time that a blockade is experienced
Profesor	Facultad de Ciencias Humanas	35-44 años	Solo me han reenviado ejemplos de uso ,	1	No	Extremely interesting to understand as a subjective and collective social and identity phenomenon, as well as the object of key study to glimpse changes in the necessary academic competences of graduates and graduates.	I haven't used it yet. I refer to question 7	I haven't used it yet. I refer to question 7	I haven't used it yet. I refer to question 7	I haven't used it yet. I refer to question 7
Profesor	Facultad de Enfermería	35-44 años	No he ingresado aún ,	1	No	Technology provides multiple aid. However, you always have to have regulations against the use of this type of tools.	I have not used yet	I have not used yet	I have not used yet	I have not used yet
Profesor	Facultad de Ingeniería	55-64 años	Computadora,	1	No	Personally I think that the GPT chat and other artificial intelligence tools is changing the world, it has a positive and negative impact.	The few times that I have connected is to consult on specific topics of cutting -edge technology, especially software and process management methodologies and tools.	I do not see useful in requesting the chat GPT to think of specific issues to speak or expose as their own ideas, this is antietic and great risk not to strive to reason oneself.	Within the university I see that teachers and students consult subjects of subject content to complement the academic material.	While the chat GPT is a great tool for many things, especially for the creation of quality content, for me it is a disadvantage against what students do, for example in one of the subjects I dictate, students enter the Chat GPT and generate source code to solve problems that I ask to do, of course I realize and it saddens me because they no longer want to think, analyze, reason, it wants all this soft one done, it is the May danger to students.
Profesor	Facultad de Ciencias Exactas y Naturales	45-54 años	Computadora,	5	No	It seems to me a good tool, as long as it is used to improve your own creations or generate academic instruments.	Help in the summary of texts, in writing improvement, in suggestions of student work issues, generation of rubrics or other evaluation instruments. Suggestions of Excel or Code functions in certain programming packages.	Searches for scientific or academic information.	Limited still, in evaluation instruments. I find it dangerous to use this and other artificial intelligence tools by students, which has led me to think about alternative forms of evaluation that dispense with its use.	I have shortened the working time in certain tasks.
Estudiante	Facultad de Ciencias Humanas	17-24 años	Computadora,	2	No	As a human science student, it can be a tool that helps in a hurry, however it limits our capabilities of understanding and criticism, since it has all the information and can process it without problem, and that our work is the majority essays , articles or papers This tool has the ability to do such jobs, which is also a challenge for us as academics.	When I can't read a whole text, it helps me with examples to understand the book and summary.	When asking for graphics.	It has been good and very measured, since I have not wanted to get used to having the information easy.	If you have a significant impact for the ease of use and the scope it has at the time of doing a job.
Personal Administrativo	Facultad de Jurisprudencia	25-34 años	Computadora,	7	No	It seems to me that it is a fairly useful tool that serves as a kind of personal assistant.	To write emails, documents and reports. As well as to make precise consultations about information that requires in a moment.	To write letters or missives that are more personalized.	Quite useful.	Not much, since the large part of activities already performed on my own.
Personal Administrativo	Direcciones Administrativas	25-34 años	Computadora,Teléfono móvil,Tableta,	5	No	Is quite advanced for your time	Generation of basic programming	Software development and consultations of some specific data	It has saved me some time, but if there is a lot of development for some things	Helps me as an assistant
Profesor	Facultad de Medicina	45-54 años	Teléfono móvil,	1	No	It could be very useful for concrete tasks, but not as a teaching-learning tool	Summaries or punctual information on a specific topic	Teaching-learning in Faculty Students	none	It is very possible that students limit themselves to the information that this tool provides and that limits their research and reasoning capacity.
Profesor	Facultad de Comunicación, Lingüística y Literatura	55-64 años	Teléfono móvil,	1	No	I would never use it. I am against the use of chatbots.	I've never used it	In none, because I have not used it	None.	"No way. I think teachers should not use it. The time will come when the technology ""thinking""."
Personal Administrativo	Direcciones Administrativas	35-44 años	Computadora,	2	No	It is the best discovery	GENERAL INFORMATION OF SPECIFIC THEMES	In the search for updated information	very good	has influenced positively
Profesor	Facultad de Ciencias Humanas	45-54 años	Computadora,Teléfono móvil,	1	No	In my work it is unnecessary because I fear risking the originality of my work.	I do not use it	Does not apply to me	None	In no way, I have not considered using it because I prefer to find the sources of information to prepare my work
Profesor	Facultad de Comunicación, Lingüística y Literatura	45-54 años	Computadora,	4	No	It seems to me a very useful tool. However, at the moment it presents two main edges. On the one hand, the generality of the information it generates. On the other, users (students basically) do not evaluate this generality and take it as knowledge and absolute and precise information. GPT is a (still) tool, Human beings must process information and content.	In search and organization of information. It also works well as a style concealer.	In very specific topics research. I have requested information with reference sources, for example, and references are usually invented.	It is still anecdotal. In fact, I cannot enter the GPT on the campus. I do not know why. It is surely for ITP. At home it works well.	At the moment, it is very soon to be able to evaluate. However, for the final exam of my subject, which consists of writing a final online trial, I will request that it be done in person because some students have begun to deliver synthetic texts created by an AI.
Personal Administrativo	Facultad de Jurisprudencia	35-44 años	Computadora,	1	No	I would like to meet her, to know how to use this tool	I do not know yet	Don't know	None	None
